2026-04-04 17:27:13,349 INFO Loading SWE-bench Lite instance IDs...
2026-04-04 17:27:15,332 INFO Loaded 300 Lite instance IDs
2026-04-04 17:27:15,333 INFO Loading BM25 13K dataset (streaming)...
2026-04-04 17:27:17,871 INFO Filtering BM25 instances to SWE-bench Lite...
2026-04-04 17:27:20,818 INFO Found 300 matching instances in BM25 dataset
Running inference:   0%|          | 0/300 [00:00<?, ?it/s]2026-04-04 17:27:25,222 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:27:25,232 INFO [1/300] astropy__astropy-12907 - patch_len=932, elapsed=4.4s
Running inference:   0%|          | 1/300 [00:04<21:59,  4.41s/it]2026-04-04 17:27:35,545 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:27:35,546 INFO [2/300] astropy__astropy-14182 - patch_len=566, elapsed=10.3s
Running inference:   1%|          | 2/300 [00:14<39:09,  7.88s/it]2026-04-04 17:27:38,565 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:27:38,566 INFO [3/300] astropy__astropy-14365 - patch_len=391, elapsed=3.0s
Running inference:   1%|          | 3/300 [00:17<28:01,  5.66s/it]2026-04-04 17:27:41,704 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:27:41,704 INFO [4/300] astropy__astropy-14995 - patch_len=648, elapsed=3.1s
Running inference:   1%|▏         | 4/300 [00:20<23:01,  4.67s/it]2026-04-04 17:28:40,944 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:28:40,945 INFO [5/300] astropy__astropy-6938 - patch_len=13005, elapsed=59.2s
Running inference:   2%|▏         | 5/300 [01:20<1:59:42, 24.35s/it]2026-04-04 17:28:43,748 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:28:43,749 INFO [6/300] astropy__astropy-7746 - patch_len=594, elapsed=2.8s
Running inference:   2%|▏         | 6/300 [01:22<1:23:24, 17.02s/it]2026-04-04 17:28:50,920 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:28:50,921 INFO [7/300] django__django-10914 - patch_len=1460, elapsed=7.2s
Running inference:   2%|▏         | 7/300 [01:30<1:07:23, 13.80s/it]2026-04-04 17:28:55,304 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:28:55,305 INFO [8/300] django__django-10924 - patch_len=918, elapsed=4.4s
